"month","mean_flow","min_flow","max_flow","variance_flow"
1,239.6030246,239.6030246,239.6030246,NA
2,41.101318449,2.364772727,105.2305212,3128.93082547194
3,28.2348559292,0,98.85714286,1631.38920848521
4,3.50973530566667,2.47363305,4.266972699,0.862340982752002
5,5.472073,1.403761062,13.93244873,32.264732789193
6,4.6304265085,0,10.8812616,21.5972489749349
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,NA
11,4.26112082966667,0,8.810468521,19.4683949327226
12,26.807134461,3.507895263,55.57617188,700.215376899948
